SENTENCE,R1,R2,R3,LABEL
This study is concerned with the removal of the anti-inflammatory dexamethasone from aqueous solution and hospital wastewater by electrocoagulation,-1.0,-1.0,-1.0,-1.0
"""The conjugates are synthesized via the esterification reaction between PEG and SA or DXM, and can spontaneously form micelles in an aqueous solution with a 65.6 Âµg/mL critical micelle concentration""",-1.0,-1.0,-1.0,-1.0
"""Cell cultures of human gingival fibroblasts obtained from healthy patients were used to evaluate the toxicity of six different endodontic cements: AH-26, Pulp Canal Sealer, Rocanal-R2, Rocanal-R3, Bioseal, and Endomethasone""",-1.0,-1.0,-1.0,-1.0
Our study suggests that choosing dexamethasone may result in less harmful effects when compared with other injectable steroids.,1.0,-1.0,1.0,
Our study suggests that choosing dexamethasone may result in less harmful effects when compared with other steroids.,,,,1.0
DWC is as safe as and more effective than standard local antiseptics in the management of wide postsurgical lesions in the infected diabetic foot.,1.0,1.0,1.0,1.0
"""RESULTS: The severity of swelling, pain and errhysis in the operated eyes was significantly lower in the ice compress group""",0.0,1.0,0.0,0.0
"""Thus, we aimed at evaluating the pulmonary outcomes of acute CYN intoxication and their putative mitigation by dexamethasone""",-1.0,0.0,-1.0,-1.0
The current article evaluated the effect of sodium valproate on acetic acid-induced ulcerative colitis in rats,-1.0,-1.0,-1.0,-1.0
"""The occurrence of postoperative nausea and vomiting (PONV), postoperative itching, number of vomiting attacks, and need for antiemetics were recorded in both groups""",0.0,1.0,1.0,0.0
"""On the day following surgery he presented polyuria with sodium 149 mEq/L, plasma osmolality 301 mOsm/kg, and urine osmolality 293 mOsm/kg""",0.0,1.0,0.0,0.0
"""Our filling protocol enclosed: accurate disinfection of the skin to be injected with povidone-iodine solution, followed by a local anaesthesia with 28G 13 mm needle, injecting 1.5 ml of 1% xylocaine""",0.0,0.0,-1.0,
" followed by a local anaesthesia with 28G 13 mm needle, injecting 1.5 ml of 1% xylocaine",,,,0.0
"""The hydrogel's pharmacological efficacy was assessed in an in vivo sunburn model induced by UVB light in Swiss mice, demonstrating that the sesamol-loaded nanocapsules significantly attenuated inflammatory responses, as evidenced by a reduction in ear thickness and polymorphonuclear cell infiltration""",-1.0,-1.0,-1.0,-1.0
"""Upon the implantation of microcone arrays under the subcutis of rats, the photo-polymerized construct made of the poorly swellable PEG200-based polymer exhibited only surface erosion and limited drug loading and releasing potentials""",-1.0,-1.0,-1.0,-1.0
"""Patients underwent blood gas studies, physical examinations, and pulmonary function testing at baseline (4 hours before extubation) and again 2 to 4 hours and 18 to 24 hours after extubation""",0.0,0.0,0.0,0.0
Sterile hydrogel pads were applied in a repeat procedure onto the normal-looking skin of the palms and face of 35 healthcare workers who were active in low exposure areas,0.0,0.0,0.0,0.0
"""Twenty-seven infants received dexamethasone, 0.25 mg/kg per dose, at baseline, and then every 8 hours for a total of three doses 23 infants received saline solution at corresponding times""",0.0,-1.0,0.0,
 and then every 8 hours for a total of three doses 23 infants received saline solution at corresponding times,,,,0.0
"""Reductions in body weight gain, anemia, decreased leukocyte and lymphocyte counts, compromised liver function, enlarged liver, and reduced spleen weight were consistent with systemic corticosteroid-mediated pharmacology, repeated use of anesthesia, stress, and sedentariness, and unlikely to be related to iontophoresis application""",0.0,-1.0,1.0,
" anemia, decreased leukocyte and lymphocyte counts, compromised liver function, enlarged liver, and reduced spleen weight were consistent with corticosteroid-mediated pharmacology, repeated use of anesthesia, stress, and sedentariness, and unlikely to be related to iontophoresis application""",,,,1.0
"""Before home discharge, the incidence of PONV, need for rescue antiemetics, quality or oral intake, and analgesic requirements did not differ between groups""",0.0,0.0,0.0,0.0
METHODS: 0.03% tacrolimus in perfluorobutylpentane (F4H5) (0.03% Tacrolimus/SFA) was formulated using a previously published protocol,0.0,0.0,0.0,0.0
"""ITC, at 30 or 300â€¯Î¼gâ€¯ml-1, did not cause DNA breakage in HeLa cells as assessed by an in vitro comet assay in the absence of S9 metabolic activation, whereas H2O2 caused extensive single-strand DNA breaks""",-1.0,-1.0,-1.0,-1.0
"""METHODS: This cohort study included Danish children undergoing cataract surgery before 10â€‰years of age, receiving either a low-dose or high-dose postoperative glucocorticoid treatment""",0.0,0.0,0.0,0.0
Subgroup analyses showed that this effect was strongest in colorectal surgery and that IOWI with antibiotic solutions had a stronger effect than irrigation with PVP-I or saline,0.0,0.0,0.0,0.0
"""Adverse events typically observed with prolonged glucocorticoid use such as Cushingoid features, weight gain, hypertension, hirsutism, diabetes or stunted growth were rarely reported""",1.0,1.0,1.0,1.0
"""No higher concentrations than 6% Repithel, 5% Betaisodona ointment and 2% Betaisodona solution in culture medium with 10% fetal bovine serum were tested within 4 h of contact with CHO-K1 cells for the comet assay, because higher concentrations will provide >60% cytotoxicity""",-1.0,-1.0,-1.0,-1.0
"""They offer the possibility to obtain precursor formulations free of water that originate lamellar phases upon water addition, preventing drug hydrolysis during storage""",-1.0,-1.0,-1.0,-1.0
"""Dexamethasone produced significantly increased latency in the hot-plate test (one-way ANOVA, p < 0.05) and withdrawal threshold in the electronic von Frey test (p < 0.005)""",-1.0,-1.0,-1.0,-1.0
METHODS: Fifteen children received dexamethasone (1 mg/kg intravenously) and 14 (controls) received saline solution 1 hour prior to CPB,0.0,-1.0,0.0,
METHODS: Fifteen children received dexamethasone and 14 (controls) received saline solution 1 hour prior to CPB,,,,1.0
"""BACKGROUND: Pregnancy affects the cardiovascular system, particularly the cardiac conduction system, thereby increasing the susceptibility of patients towards arrhythmia""",0.0,1.0,0.0,1.0
"""CONCLUSION: Combined therapy of 0.15 mg/kg dexamethasone 1 minute before induction and intraoperative fluid superhydration is an effective and safe way to reduce PONV and pain better than monotherapy of dexamethasone, or intraoperative superhydration separately for pediatric strabismus surgery.""",0.0,-1.0,0.0,
" or intraoperative superhydration separately for pediatric strabismus surgery.""",,,,1.0
"""In this study, we evaluated the potential of a PVP-I solution and other antiseptics to cause irritation using a cultured human skin model (three-dimensional skin model) under conditions similar to clinical use""",-1.0,-1.0,-1.0,-1.0
"""METHODS: First, an experimental laboratory model using Staphylococcus aureus was used to evaluate the bactericidal effect of PI-BSS PLUS""",-1.0,-1.0,-1.0,-1.0
"""In 2016 daratumumab was approved in combination with lenalidomide and dexamethasone, or bortezomib and dexamethasone, for the treatment of myeloma patients who have received at least one prior therapy.The toxicity of the drug is low, and is dominated by infusion-related reactions in more or less half of patients""",1.0,-1.0,-1.0,-1.0
"""Finally, an Institutional Review Board (IRB)-approved, randomized, controlled, single-center, partially blinded in vivo study was performed to assess the immediate and persistent antimicrobial activity of the test solutions on the abdomen and groin""",0.0,0.0,-1.0,-1.0
"""Cytotoxicity analysis of M2000 showed a much higher tolerability compared with other tested drugs (diclofenac, piroxicam and dexamethasone)""",1.0,1.0,-1.0,-1.0
Subjects reported significantly less eye irritation during the low-humidity exposure after using the dexamethasone (visit 4) compared to artificial tears (visit 3) (P = .01),0.0,1.0,1.0,1.0
"""Each patient completed a questionnaire comprising a visual analog scale (VAS) and the Back Pain Functional Scale (BPFS) at baseline, and 1 month and 1 year after injection""",0.0,0.0,0.0,0.0
"""The percentage of eosinophil in SME+D, and the percentage of monocyte in SME+N+D (p<0.05 to p<0.01) were significantly lower than those in SME group""",0.0,-1.0,-1.0,-1.0
"""In the positive control group, animals were injected with the anti-inflammatory drug dexamethasone 1Â h prior to the zymosan administration""",-1.0,-1.0,-1.0,-1.0
"""A local ice compress can reduce the severity of swelling, errhysis and pain after acute injury as well as after surgery""",0.0,0.0,0.0,0.0
"""We conclude that the prophylactic use of corticosteroids for the prevention of postextubation stridor and respiratory distress is efficacious in low birth weight, high-risk preterm infants.""",0.0,0.0,0.0,0.0
"""The two groups did not differ in post-PEG fever, peristomal infection, pneumonia, or all-cause infection""",0.0,1.0,0.0,0.0
"""Much more SA-PEG-DXM micelles can be internalized by lipopolysaccharide (LPS)-activated human umbilical vein endothelial cells (HUVECs) in comparison to PEG-DXM micelles due to specific interaction between SA and E-selectin expressed on HUVECs, and consequently more SA-PEG-DXM micelles are accumulated in the kidney of AKI murine model""",-1.0,-1.0,-1.0,-1.0
"""PURPOSE: Dexamethasone intravitreal implant (DEX implant, Ozurdex(Â®) Allergan, Inc.) is used to treat noninfectious posterior uveitis and macular edema associated with retinal vein occlusion and diabetic retinopathy""",0.0,0.0,0.0,0.0
"""The number of infective relapses that have required antibiotic intravenous therapy was not different in the two groups, although the average of these episodes was slightly higher in the experimental therapy group""",0.0,1.0,1.0,1.0
"""Multivariate analysis revealed that longer duration of HPN, cyclic HPN, and hospital-based compound HPN were significantly associated with CRBSIs""",0.0,-1.0,0.0,1.0
"""In addition, skin blistering was lower in the intervention group (3.5%, 10 of 283) vs the control group (6.5%, 19 of 294), but this difference also did not reach statistical significance (PÂ = .13)""",0.0,1.0,0.0,0.0
"""The patients in the intervention group (nÂ = 300) received SPS that included alcohol and povidone-iodine before draping and an additional SPS by iodine povacrylex and isopropyl alcohol before application of the final adhesive drape, whereas the patients in the control group (nÂ = 300) received a single SPS with alcohol and povidone-iodine before draping""",0.0,0.0,-1.0,-1.0
"""Among 4 eyes that underwent vitrectomy using 0.025% PI-BSS PLUS, coagulase-negative Staphylococcus sp""",0.0,0.0,0.0,0.0
Nebacetin showed good in vitro antibacterial activity against both Gram-positive and Gram-negative pathogens without impairing human cell vitality,-1.0,-1.0,-1.0,-1.0
"""CONCLUSION: Our findings indicate the possibility of the therapeutic value of Egb-761 for alleviation of local inflammation by attenuating the increased MDA, NO and TNF-Î± levels.""",-1.0,-1.0,-1.0,-1.0
"""Cell viability was affected slightly at the MIC dose of ILÎ±D, while the MIC dose of PVP-I exerted a strong cell growth inhibitory effect of 90-95%""",-1.0,-1.0,-1.0,-1.0
"""PVP-I and Lugol's solution are highly effective topical disinfectants, but do not facilitate diffusion of I2 through the stratum corneum""",0.0,0.0,0.0,0.0
"""Although inhaled corticosteroids are generally safe and well tolerated compared with oral corticosteroids, concerns remain about potential side effects""",1.0,-1.0,1.0,
 concerns remain about potential side effects,,,,1.0
The primary outcome of this study was to assess the effect of IV dexamethasone on the regression of hyperbaric bupivacaine spinal anesthesia,0.0,-1.0,0.0,
The primary outcome of this study was to assess the effect of dexamethasone on the regression of hyperbaric bupivacaine spinal anesthesia,,,,0.0
"""The toxicity was determined by measuring spectrophotometrically at 405 nm the colorimetric reaction of N-acetyl-beta-hexosaminidase, an endogenous enzyme, with the chromogenic substrate [p-nitrophenol-N-acetyl-beta-D-glucosamide (NAG)]""",0.0,-1.0,-1.0,-1.0
"""MATERIALS AND METHODS: From January 2002 to August 2003, 244 consecutive cases undergoing primary instrumented lumbosacral posterolateral fusion due to degenerative spinal disorder with segmental instability had been collected and randomly divided into two groups: the study group (120 cases, 212 fusion levels) and the control group (124 cases, 223 fusion levels)""",0.0,0.0,0.0,0.0
The same changes in counterregulatory hormones were seen whether discontinuation was tapered or abrupt,0.0,0.0,0.0,0.0
CONCLUSION: This work reports for the first time that PECs respond to the accumulation of extracellular adenosine from injured podocytes via activating ARA2B and focuses on the role of adenosine and adenosine receptors in the trans-differentiation of PECs,-1.0,-1.0,-1.0,-1.0
"""Compared with control values, mean scores for subepithelial haze in the other groups were found to be nearly 50% lower during the first 2 postoperative months.(ABSTRACT TRUNCATED AT 250 WORDS)""",0.0,0.0,0.0,0.0
Microbial growth (Staphylococcus aureus and bacilli) was observed only in control specimens in both brain heart infusion broth and on blood agar plates,0.0,-1.0,-1.0,-1.0
Incubation with rifampicin increased the CYP activity in two different hepatocyte preparations in a dose dependent manner (ECâ‚…â‚€=1.20 Î¼M and 6.06 Î¼M Emax=4.1- and 3.4-fold induction),-1.0,-1.0,-1.0,-1.0
"""To test TTP, the plasma pen meandered over the eyes at a speed of 30 mm/s and a distance of 5 mm the eyes were then rinsed with balanced salt solution""",0.0,-1.0,0.0,-1.0
"""METHODS: Forty-four male New Zealand adult rabbits were randomly assigned to four groups (control, tranexamic acid (TXA), povidone-iodine (PVPI), and PVPI + TXA)""",-1.0,-1.0,-1.0,-1.0
"""On subgroup analysis, patients with multilevel (â‰¥2-level) fusion benefited significantly from corticosteroids on both scales, whereas those with single-level procedures did not""",0.0,0.0,1.0,0.0
The extent of superficial chondrocyte death was significantly greater at higher concentrations of povidone-iodine solutions,-1.0,-1.0,-1.0,-1.0
"""Furthermore, megosin+PVP rescued mitochondrial functions, such as respiration and oxidative phosphorylation, which declined after CCl(4) administration""",-1.0,-1.0,-1.0,-1.0
"""Dexa protected against renal lesions caused by the venom, perhaps by inhibiting phospholipase A2 a toxic component of the venom""",-1.0,-1.0,0.0,-1.0
CONCLUSION: CD19hsCAR-T may have the potential to induce remission in patients who are primarily refractory to CD19mCAR-T.,0.0,0.0,0.0,0.0
"""Analysis of mRNA expression for IGF-I, IGF-II, and the type 1 receptor transcripts did not support a role for decreased IGF or IGF receptor expression in the etiology of DXM-mediated growth retardation""",-1.0,-1.0,0.0,-1.0
RESULTS: The hyperoxic survival rates from day 1 through day 14 were similar in both dexamethasone-treated and control preterm O2 groups,0.0,0.0,0.0,0.0
"""More significantly, based on the excellent performance of Nu-SO2 in dynamically reporting the further development of inflammation in mice triggered by alcohol, we successfully elucidated the """"anti-inflammatory and pro-inflammatory"""" trend in the development of inflammation caused by alcohol stimulation""",-1.0,-1.0,-1.0,-1.0
"""Pre and post-treatment, detailed examination was conducted, which included the Schirmer Tear test, Fluorescein staining, Intraocular pressure, slit lamp biomicroscopy and fundus photography""",0.0,0.0,0.0,0.0
All patients had undergone previous hypospadias repair and at least one previous attempt to close the fistula had failed,0.0,0.0,0.0,0.0
CONCLUSIONS: This case series documents the onset of steroid keratopathy in Beagles and Beagle-derived dogs after treatment with ophthalmic corticosteroids,-1.0,-1.0,-1.0,-1.0
"""METHODS: A triple-blind, randomized, placebo-controlled trial conducted between February 2008 and December 2009 of 120 pregnant women scheduled to undergo cesarean delivery""",0.0,1.0,0.0,1.0
"""Also, even when the dosage is administered carefully, metabolic differences may cause different effects on different patients""",0.0,1.0,0.0,0.0
"""NoE and dexamethasone solutions' (diluted in acetone 20â€¯Î¼L/ear) or NoE gel, dexamethasone gel and base gel (15â€¯mg/ear) were topically applied immediately after croton oil application""",0.0,0.0,0.0,0.0
"""At 120 min after administration of PAI solution, the CR ratio was decreased and superficial punctate keratopathy (SPK) was significantly increased in each of the PAI-administered groups compared to the control""",0.0,0.0,0.0,0.0
CONCLUSION: Intrathecal administration of dexamethasone with morphine significantly decreased PONV and improved overall patient satisfaction after cesarean delivery.,0.0,-1.0,-1.0,-1.0
Incorporation of a pHEMA macroporous gel into an eyedrops bottle can virtually eliminate the exposure of the eyes to the preservatives without compromising the sterility,-1.0,-1.0,0.0,0.0
Obese mice were then administered with baicalin (50 and 100Â mg/kg) or vehicle solution everyday through oral gavage during the last 4-week period,-1.0,-1.0,-1.0,-1.0
PURPOSE: SP-102 is a novel epidural steroid injection (ESI) formulation of 10 mg dexamethasone sodium phosphate in a viscous gel solution,0.0,0.0,0.0,0.0
"""All patients were experiencing chronic pain related to cancer and were unable to obtain adequate pain control with either intermittent parenteral, oral, or rectal narcotics""",0.0,-1.0,0.0,-1.0
"""There was no difference in discomfort upon administration of the drops among the 3 groups, and no other adverse events developed""",1.0,1.0,1.0,1.0
The outcome was the hospitalization rates of patients because of infectious complications a month after the biopsy,1.0,1.0,1.0,1.0
AIM: Chemotherapy-induced nausea and vomiting diminishes quality of life and increases healthcare resource use,1.0,-1.0,1.0,1.0
"""In this article, we describe a case of a 4-month-old infant who developed ICS after 6 weeks of intranasal dexamethasone ophthalmic solution administration for nasal obstruction""",1.0,1.0,1.0,1.0
"""The NoE topical anti-inflammatory effect was evaluated for inflammatory parameters (ear edema, inflammatory cells infiltration, and inflammatory cytokines levels)""",-1.0,0.0,0.0,-1.0
"""In addition to having a better disease registration system compared to neighboring countries, many factors including economic conditions, have played an important role in increasing the number of mortality rate""",0.0,0.0,0.0,0.0
These results suggest that dexamethasone may play an important role in the inhibition of the polymer-induced inflammation in the era of drug-eluting stents.,-1.0,0.0,0.0,
These results suggest that dexamethasone may play an important role in the inhibition of the polymer-induced inflammation in the era of drug-eluting stents.,,,,0.0
"""Cutaneous reactions to povidone (PVP)-iodine are widely reported however, distinction between allergic and irritant reactions can be challenging""",1.0,1.0,1.0,1.0
CONCLUSIONS: Povidone-iodine-induced post-surgical dermatitis may be a severe complication after prolonged surgical procedures,1.0,1.0,1.0,1.0
"""Ease of access was significantly lower at tertiary referral centers (OR:0.11, 95%CI:0.01-0.64, pâ€‰=â€‰0.041) and private practices (OR:0.04, 95%CI:0.002-0.33, pâ€‰=â€‰0.009) compared to academic free-standing children's hospitals""",0.0,0.0,0.0,0.0
"""Pleurodesis involves injecting a sclerosing agent into the pleura to encourage adhesion between the two layers, ultimately obliterating the pleural space""",0.0,0.0,0.0,0.0
"""After the baseline TEOAE measurements, 0.1 mL of povidone-iodine solution was applied transtympanically into the middle ear in the study group""",0.0,0.0,0.0,0.0
The findings of this study elucidate the anti-colitic and anti-inflammatory properties of fluvoxamine and so introduced it as a good candidate to treat depressive symptoms in people comorbid to IBD.,0.0,0.0,0.0,0.0
"""Treatment consists of removal of the storage focus, because polyvinylpyrrolidone maintains foreign-body reaction and absorption and storage in internal organs may cause further complications""",1.0,0.0,1.0,1.0
The pharmacokinetic results indicated that the magnitude of AUC(0-480) of intrapulmonary delivered drug particles was not correlated to the fine particle fraction (FPF) but inversely related to the MTR,-1.0,-1.0,0.0,-1.0
"""Despite premedication with dexamethasone prior to a second attempt at therapy, she again experienced similar symptoms after receiving 500 mL (78 mg) of cisplatin solution""",1.0,0.0,-1.0,-1.0
Five eyes in the dexamethasone eyedrop group required augmentation of steroids and were deemed therapeutic failures as opposed to one eye in the Surodex group,1.0,0.0,0.0,0.0
